"GEO2010","COUNTY","HFLG175","FAVINC0D","MDFAMY0","FAY0100","FAY0150","FAY0200","FAY0250","FAY0300","FAY0350","FAY0400","FAY0450","FAY0500","FAY0600","FAY0750","FAY01000","FAY01250","FAY01500","FAY02000","FAY0M200"
"22079013100","79","0","700","27905","87","71","84","71","68","63","35","44","46","43","25","47","0","11","4","1"
"22079013200","79","0","2085","47238","138","57","74","159","162","142","134","104","134","249","285","281","116","33","0","17"
"22079013300","79","0","1467","35125","164","175","149","107","73","62","111","98","63","147","130","91","40","16","13","28"
"22079013400","79","0","766","49091","37","37","35","42","43","47","33","58","55","96","85","69","48","45","13","23"
"22079013500","79","0","1599","36125","163","134","152","119","98","111","137","121","103","133","124","110","53","15","13","13"
"22079013600","79","0","803","30378","128","86","42","85","54","52","74","51","31","86","43","39","26","0","0","6"
"22079013700","79","0","1047","38789","65","76","72","95","81","59","113","85","76","103","154","46","22","7","1","7"
"22079013800","79","0","884","37111","112","72","57","74","30","68","34","67","41","106","99","77","5","24","10","5"
"22079013900","79","0","715","15108","244","107","85","79","53","46","28","31","12","32","1","8","1","1","0","1"
"22079980000","79","0","113","48510","6","6","0","0","0","7","0","31","20","11","27","8","0","0","0","0"
"22081960100","81","0","1381","30344","168","135","141","117","119","109","86","91","81","140","98","59","12","6","7","4"
"22081960300","81","0","1145","24260","265","94","115","110","91","89","40","46","63","54","65","73","11","12","6","19"
"22083970100","83","0","891","26745","143","97","90","82","81","91","21","54","56","65","46","38","5","12","10","0"
"22083970200","83","0","610","34125","78","68","47","37","44","38","53","42","22","48","52","40","30","0","0","11"
"22083970300","83","0","869","33576","101","112","73","39","41","93","28","48","64","90","76","62","4","9","8","21"
"22083970400","83","0","705","34489","12","74","94","71","70","36","22","55","40","51","104","23","24","24","5","0"
"22083970500","83","0","1312","20693","359","176","98","130","99","94","43","15","61","54","79","60","33","0","11","0"
"22083970600","83","0","1143","34647","144","103","73","79","117","62","71","85","81","92","114","58","27","13","13","11"
"22085000100","85","0","840","38558","58","78","53","59","83","67","37","104","44","103","59","56","18","12","6","3"
"22085000200","85","0","1025","36241","62","113","59","127","73","63","30","99","65","94","117","41","49","8","8","12"
"22085000300","85","0","582","21983","143","70","54","65","33","42","20","15","26","27","35","28","8","2","6","0"
"22085000400","85","0","1327","36079","105","77","102","96","153","100","90","77","108","123","94","98","46","18","13","25"
"22085000500","85","0","841","24909","177","88","62","95","69","43","52","31","37","63","47","39","15","13","6","4"
"22085000600","85","0","1138","33457","79","130","107","99","92","91","73","84","72","117","60","75","30","16","3","10"
"22085000700","85","0","887","33214","69","46","74","153","67","50","84","47","32","84","72","62","19","1","21","21"
"22087030103","87","0","1819","33316","151","142","103","137","254","150","54","59","128","260","157","164","15","6","25","0"
"22087030104","87","2","665","34791","70","57","43","57","63","50","57","37","1","38","52","89","28","23","6","8"
"22087030105","87","0","202","23935","49","7","23","28","15","6","8","21","7","16","7","7","4","0","0","0"
"22087030203","87","0","1213","40485","80","50","101","86","77","102","101","83","117","141","125","76","47","19","8","0"
"22087030204","87","0","1723","36350","209","131","126","120","125","137","65","120","109","142","221","161","40","0","0","17"
"22087030206","87","0","1277","56370","20","19","14","40","93","80","73","78","80","223","261","159","77","32","28","0"
"22087030207","87","0","1659","55917","37","40","85","62","37","111","85","122","123","251","258","314","100","18","16","0"
"22087030208","87","0","1372","60786","46","26","3","83","40","63","70","62","115","156","297","247","123","41","0","0"
"22087030209","87","0","1307","47540","88","52","26","116","82","107","101","48","64","213","154","131","76","22","8","19"
"22087030300","87","1","566","44833","38","28","7","43","20","63","50","35","33","74","73","50","23","0","6","23"
"22087030400","87","0","681","38333","22","24","20","86","72","87","34","51","36","68","75","79","7","9","0","0"
"22087030500","87","1","989","43140","40","39","43","107","77","76","67","86","55","125","147","91","32","9","0","6"
"22087030601","87","1","785","59879","30","10","0","36","42","64","58","51","19","84","116","149","67","30","19","10"
"22087030602","87","1","1180","37318","60","12","112","104","119","132","78","75","65","119","156","84","42","0","6","16"
"22087030603","87","1","845","22275","154","126","87","72","105","56","50","25","34","48","19","43","12","5","9","0"
"22087030700","87","1","528","35750","68","53","27","49","40","18","62","25","27","75","28","48","2","0","0","6"
"22087030800","87","1","1417","37578","57","89","108","110","142","142","107","132","133","128","131","106","17","0","0","15"
"22087990000","87","1","135","23935","33","5","16","19","10","5","6","15","5","12","5","5","3","0","0","0"
"22089060100","89","0","302","49664","14","12","15","16","0","8","8","17","66","41","64","28","7","6","0","0"
"22089062100","89","0","1246","39510","30","73","72","136","97","108","114","61","74","144","159","109","29","18","6","0"
"22089062200","89","0","606","33438","61","35","41","83","37","61","30","30","67","53","32","68","8","0","0","0"
"22089062301","89","0","1555","80882","38","39","28","30","60","26","38","49","57","141","168","336","221","110","151","50"
"22089062302","89","0","1428","58667","9","14","43","55","42","104","87","59","126","199","201","207","155","44","33","50"
"22089062400","89","0","407","33090","50","30","36","27","43","47","38","51","17","30","12","24","5","8","17","1"
"22089062500","89","0","971","46642","40","66","31","25","111","78","40","61","61","130","176","89","26","28","9","0"
"22089062700","89","0","971","38155","176","64","50","60","48","23","89","52","39","52","135","91","41","25","5","6"
"22089062800","89","0","1055","36639","132","47","79","87","106","47","83","83","81","126","101","57","13","5","0","8"
"22089062900","89","0","757","48073","39","47","16","84","46","12","70","39","44","74","125","114","34","7","6","0"
"22089063000","89","0","347","50156","15","5","21","0","29","24","18","36","25","35","54","53","13","5","8","6"
"22089063100","89","0","2015","71281","107","7","37","83","60","60","53","78","60","203","318","529","263","76","53","28"
"22089063200","89","0","1522","41934","76","92","104","146","65","134","94","108","87","154","226","118","78","30","1","24"
"22091951100","91","0","1115","30337","189","119","96","85","60","89","63","37","89","112","74","59","35","4","2","2"
"22091951200","91","0","1657","29650","198","205","169","131","136","81","97","93","101","67","144","133","57","13","19","13"
"22093040100","93","0","874","40172","105","65","31","62","49","62","61","56","38","87","111","108","25","10","2","2"
"22093040200","93","0","1010","42500","162","74","32","52","58","59","27","81","45","88","98","107","84","21","3","19"
"22093040300","93","0","736","54265","38","25","18","16","56","62","20","56","51","51","94","162","69","9","0","0"
"22093040400","93","0","646","33344","98","47","56","57","22","54","14","37","18","89","59","65","24","7","8","0"
"22093040500","93","0","622","33017","91","58","32","62","47","44","39","33","33","65","78","14","10","6","5","5"
"22093040600","93","0","701","31971","121","77","73","28","31","47","27","32","15","53","36","81","68","0","7","5"
"22093040700","93","0","975","53053","68","63","70","53","58","26","40","40","41","120","192","140","37","12","5","10"
"22095070100","95","0","627","71063","0","5","30","17","24","13","10","29","26","67","126","155","78","28","6","0"
"22095070200","95","0","1502","49828","116","49","57","87","122","83","81","75","80","210","216","227","59","28","0","6"
"22095070300","95","0","1673","48586","41","62","91","110","89","114","121","144","89","150","308","260","81","19","0","0"
"22095070400","95","0","1210","68280","50","33","56","33","57","25","40","56","64","96","184","226","153","85","16","26"
"22095070500","95","0","1443","41713","116","54","58","100","123","86","126","106","92","165","219","146","34","4","6","7"
"22095070600","95","0","712","34166","129","39","85","45","29","42","19","56","51","86","70","42","13","8","1","0"
"22095070700","95","0","1157","43834","168","17","76","59","36","80","71","102","73","131","134","136","33","27","23","6"
"22095070800","95","0","660","32817","126","75","17","40","46","29","27","50","45","56","63","55","5","7","8","0"
"22095070900","95","0","608","27697","150","32","53","57","35","66","32","12","33","42","40","15","16","20","1","21"
"22095071000","95","0","828","31786","84","39","85","116","60","66","54","26","25","72","100","42","34","16","0","9"
"22095071100","95","0","926","29611","149","88","77","84","72","75","87","39","36","48","62","58","33","18","0","0"
"22097960100","97","0","832","25163","162","75","103","73","63","43","21","77","59","65","66","14","7","0","2","2"
"22097960200","97","0","1154","31646","170","98","141","97","44","79","69","68","22","106","110","82","32","7","2","27"
"22097960300","97","0","1148","30294","161","77","113","102","115","79","108","71","50","79","84","40","40","13","10","5"
"22097960400","97","0","692","35625","59","53","78","44","65","38","55","31","35","93","82","29","16","0","0","1"
"22097960500","97","0","1448","31144","151","122","164","98","151","141","84","45","90","138","119","101","40","2","1","15"
"22097960600","97","0","1762","30278","284","176","110","157","142","159","129","118","83","159","116","79","16","6","5","23"
"22097960700","97","0","1456","28625","193","137","140","131","160","108","116","122","61","109","76","53","16","19","0","15"
"22097960800","97","0","1049","35638","82","101","75","48","118","88","71","89","46","122","104","67","21","7","6","4"
"22097960900","97","0","1233","20478","317","160","120","124","70","61","75","38","40","98","61","33","8","0","22","6"
"22097961000","97","0","590","30370","68","58","36","75","54","41","30","30","25","58","45","39","17","0","7","7"
"22097961100","97","0","935","29509","100","114","62","101","96","55","83","29","38","95","90","47","12","7","0","6"
"22097961200","97","0","1074","31492","112","96","94","81","98","85","67","26","45","84","108","94","44","5","4","16"
"22097961300","97","0","1496","17315","491","182","154","127","72","106","126","42","33","32","62","12","15","15","16","11"
"22097961400","97","0","1576","21513","437","159","169","103","101","108","102","25","59","63","104","27","69","10","14","26"
"22097961500","97","0","1520","30000","326","139","133","74","88","55","62","82","75","96","176","126","34","49","5","0"
"22097961600","97","0","1338","18071","404","216","104","114","127","68","51","80","35","47","56","26","16","7","1","1"
"22097961700","97","0","1791","40615","202","120","85","130","108","101","134","94","95","202","226","153","60","33","34","14"
"22097961800","97","0","1410","38370","177","139","115","69","81","73","66","84","85","152","163","149","28","11","12","6"
"22097961900","97","0","857","30052","165","78","70","68","47","43","60","65","37","69","63","54","23","5","4","6"
"22099020100","99","0","1376","34869","113","116","61","144","132","118","120","144","76","114","96","95","23","4","0","6"
"22099020200","99","0","1685","36192","289","104","95","117","108","79","125","140","67","185","184","150","33","0","0","9"
"22099020301","99","0","935","37875","101","73","65","74","47","65","75","61","56","98","87","77","21","23","0","2"
"22099020302","99","0","1656","37874","179","130","116","132","84","116","133","109","100","175","154","137","38","42","0","5"
"22099020400","99","0","1508","39718","140","93","132","120","141","59","73","108","139","192","212","80","14","1","3","2"
"22099020501","99","0","1949","32192","294","212","170","139","114","126","99","81","81","202","160","131","53","50","15","13"
"22099020502","99","0","318","32267","49","36","30","25","20","23","17","14","14","35","28","24","11","10","3","4"
"22099020600","99","0","1718","35891","294","140","129","88","73","104","125","126","98","116","189","121","34","29","38","14"
"22099020800","99","0","852","37657","67","113","88","22","75","22","90","57","47","118","96","47","18","3","1","1"
"22099020900","99","0","454","33229","63","62","20","23","32","44","32","50","15","13","13","39","16","16","0","16"
"22099021000","99","0","527","46375","33","39","17","55","28","26","44","16","10","75","43","103","22","0","0","16"
"22101040100","101","0","686","30189","101","110","40","12","77","63","27","74","38","55","54","34","0","0","0","0"
"22101040200","101","0","1417","50824","69","64","83","62","99","71","81","63","106","160","201","231","74","12","22","6"
"22101040300","101","0","842","27752","145","87","63","68","100","41","54","64","67","38","56","49","15","7","1","1"
"22101040400","101","0","1149","25986","237","125","100","92","65","86","93","67","42","82","87","45","6","9","8","5"
"22101040500","101","0","1201","40297","83","93","74","83","88","91","75","94","84","138","101","116","49","10","0","8"
"22101040600","101","0","1168","36988","146","54","125","79","147","30","47","69","73","91","155","117","16","20","11","1"
"22101040700","101","0","981","24621","203","107","86","100","55","41","83","34","68","94","73","21","17","0","0","0"
"22101040800","101","0","876","42368","63","70","58","81","28","51","51","57","61","98","93","94","57","14","0","0"
"22101040900","101","0","731","22341","122","100","96","48","30","33","68","32","4","56","42","63","0","18","6","0"
"22101041000","101","0","1100","32090","180","80","81","79","79","87","42","70","63","78","90","87","49","15","7","13"
"22101041100","101","0","437","25815","86","32","66","30","42","25","58","10","12","42","15","17","3","3","3","0"
"22101041200","101","0","611","25669","99","70","80","45","50","35","31","31","35","29","66","25","7","2","3","3"
"22101041300","101","0","563","35852","44","54","57","66","32","21","54","31","26","70","46","55","0","7","0","0"
"22101041400","101","0","1071","32450","122","112","122","56","50","107","104","76","17","88","69","72","55","4","14","3"
"22101041500","101","0","560","57875","46","26","17","45","21","31","32","21","14","44","120","91","8","36","0","8"
"22101041600","101","0","580","14898","209","83","15","40","44","44","33","24","24","34","16","7","7","0","0","0"
"22101990000","101","0","119","22277","20","17","16","8","5","6","12","6","1","10","8","11","0","4","1","0"
"22103040102","103","1","2132","40077","209","109","124","146","171","149","150","130","142","218","277","158","49","30","29","26"
