"GEO2010","COUNTY","HFLG175","FAVINC1AD","MDFAMY1A","FAY0101A","FAY0151A","FAY0201A","FAY0251A","FAY0301A","FAY0351A","FAY0401A","FAY0451A","FAY0501A","FAY0601A","FAY0751A","FAY01001A","FAY01251A","FAY01501A","FAY02001A","FAY0M201A"
"22033002802","33","0","61","20125","8","9","13","16","0","0","0","0","0","0","0","15","0","0","0","0"
"22033003000","33","2","737","21535","125","111","84","114","32","22","47","11","11","102","29","28","11","0","10","0"
"22033003101","33","0","1046","27928","208","63","89","103","123","110","35","57","39","38","100","38","25","18","0","0"
"22033003103","33","1","322","22200","55","20","42","66","14","33","16","28","8","20","0","0","20","0","0","0"
"22033003201","33","1","1062","58494","61","27","55","48","37","53","46","29","90","132","141","207","29","63","44","0"
"22033003202","33","1","1145","72026","0","12","13","18","18","45","96","61","70","197","59","423","59","35","33","6"
"22033003300","33","1","1199","27926","178","228","74","62","94","142","22","59","51","72","112","36","45","0","24","0"
"22033003400","33","1","1350","41484","96","93","144","68","13","75","167","32","58","88","211","77","78","81","69","0"
"22033003501","33","2","790","44345","0","21","63","45","153","26","48","50","32","79","105","108","22","7","19","12"
"22033003504","33","1","1472","46288","122","36","125","92","83","127","103","31","74","149","137","247","28","107","11","0"
"22033003505","33","1","1127","37257","123","61","103","120","14","82","78","98","31","122","125","50","72","32","3","13"
"22033003506","33","1","1966","50212","34","65","41","12","173","298","105","193","46","216","124","338","232","36","43","10"
"22033003507","33","1","1395","77244","23","28","16","12","34","68","46","46","114","152","84","442","151","146","33","0"
"22033003601","33","1","837","52325","17","29","21","76","28","81","60","29","31","88","63","215","55","44","0","0"
"22033003603","33","1","653","19611","65","71","209","45","10","16","22","46","43","17","29","72","8","0","0","0"
"22033003604","33","1","1498","25179","235","245","163","104","48","13","70","85","106","149","146","74","17","30","13","0"
"22033003701","33","1","1470","71694","0","0","57","37","46","54","48","122","130","102","149","269","140","78","114","124"
"22033003702","33","1","797","65396","0","15","22","22","39","40","20","41","88","86","154","101","66","28","67","8"
"22033003703","33","0","1622","83333","47","14","40","67","79","64","48","98","46","109","163","225","222","206","148","46"
"22033003801","33","1","1591","84906","8","15","44","28","73","86","90","7","23","96","215","235","148","97","86","340"
"22033003802","33","1","1174","85000","12","12","0","33","55","75","26","40","36","99","86","323","136","41","99","101"
"22033003804","33","1","943","86189","15","0","12","33","16","0","35","8","41","82","161","153","198","86","66","37"
"22033003805","33","1","1763","82813","18","76","95","94","12","28","39","63","23","177","136","252","324","176","122","128"
"22033003904","33","1","1356","50250","98","70","91","21","53","97","58","94","88","144","134","236","60","38","41","33"
"22033003906","33","1","2424","83936","0","25","11","0","34","96","77","222","218","205","205","457","296","332","174","72"
"22033003907","33","1","1310","97829","9","19","53","37","0","25","55","142","44","90","99","115","146","161","189","126"
"22033003908","33","1","1004","96667","2","0","20","10","26","9","45","35","57","41","95","193","217","130","72","52"
"22033003909","33","0","987","52218","44","9","56","69","16","14","67","117","74","127","66","249","42","17","20","0"
"22033003910","33","1","656","34676","27","86","31","20","80","91","0","44","47","77","67","39","7","40","0","0"
"22033004005","33","1","1260","79122","53","43","30","35","40","47","14","33","122","112","77","219","235","44","75","81"
"22033004006","33","0","2165","111929","0","23","0","14","102","12","0","106","51","132","126","370","359","313","261","296"
"22033004009","33","1","1945","96067","37","0","38","54","38","57","39","221","29","173","124","243","245","77","239","331"
"22033004010","33","2","1453","77139","19","66","33","26","44","16","140","57","72","74","135","190","239","114","76","152"
"22033004011","33","2","823","30984","113","110","105","58","7","47","84","61","9","36","44","62","20","0","21","46"
"22033004013","33","0","379","30156","29","37","47","74","0","94","13","12","0","52","0","19","0","0","2","0"
