"","LE_x","GEOID","city","ACS.majBlack"
"325",74.1,"22103040501","New Orleans-Metairie, LA",FALSE
"326",77.6,"22103040502","New Orleans-Metairie, LA",FALSE
"327",78.1,"22103040601","New Orleans-Metairie, LA",FALSE
"328",78.5,"22103040602","New Orleans-Metairie, LA",FALSE
"329",81.4,"22103040604","New Orleans-Metairie, LA",FALSE
"330",79.2,"22103040605","New Orleans-Metairie, LA",FALSE
"331",78.4,"22103040701","New Orleans-Metairie, LA",FALSE
"332",75.4,"22103040705","New Orleans-Metairie, LA",FALSE
"333",75.7,"22103040706","New Orleans-Metairie, LA",FALSE
"334",76.6,"22103040709","New Orleans-Metairie, LA",FALSE
"335",79.4,"22103040710","New Orleans-Metairie, LA",FALSE
"336",76.7,"22103040801","New Orleans-Metairie, LA",FALSE
"337",75,"22103040803","New Orleans-Metairie, LA",FALSE
"338",69.5,"22103040900","New Orleans-Metairie, LA",TRUE
"339",77.6,"22103041002","New Orleans-Metairie, LA",FALSE
"340",78.6,"22103041003","New Orleans-Metairie, LA",FALSE
"341",76.7,"22103041004","New Orleans-Metairie, LA",FALSE
"342",75.4,"22103041101","New Orleans-Metairie, LA",FALSE
"343",75.7,"22103041102","New Orleans-Metairie, LA",FALSE
"344",69.8,"22103041103","New Orleans-Metairie, LA",FALSE
"345",75.9,"22103041104","New Orleans-Metairie, LA",FALSE
"346",76.6,"22103041202","New Orleans-Metairie, LA",FALSE
"347",75.8,"22103041204","New Orleans-Metairie, LA",FALSE
"348",78.8,"22103041207","New Orleans-Metairie, LA",FALSE
"349",83,"22103041208","New Orleans-Metairie, LA",FALSE
"350",80.3,"22103041209","New Orleans-Metairie, LA",FALSE
"351",76.9,"22103041210","New Orleans-Metairie, LA",FALSE
"352",78.8,"22103041211","New Orleans-Metairie, LA",FALSE
"353",81.5,"22103041300","New Orleans-Metairie, LA",FALSE
