"","LE_x","GEOID","city","ACS.majBlack","LE","city.fac"
"158",69.7,1073013400,"Birmingham",TRUE,69.7,"Birmingham"
"159",70.6,1073013601,"Birmingham",TRUE,70.6,"Birmingham"
"160",68.7,1073013801,"Birmingham",TRUE,68.7,"Birmingham"
"161",69.2,1073013901,"Birmingham",TRUE,69.2,"Birmingham"
"162",72.8,1073013902,"Birmingham",FALSE,72.8,"Birmingham"
"163",77,1073014001,"Birmingham",FALSE,77,"Birmingham"
"164",76.7,1073014002,"Birmingham",FALSE,76.7,"Birmingham"
"165",71.4,1073014102,"Birmingham",FALSE,71.4,"Birmingham"
"166",70.8,1073014104,"Birmingham",FALSE,70.8,"Birmingham"
"167",75.9,1073014105,"Birmingham",TRUE,75.9,"Birmingham"
"168",75.1,1073014203,"Birmingham",FALSE,75.1,"Birmingham"
"169",79.6,1073014204,"Birmingham",FALSE,79.6,"Birmingham"
"170",73.8,1073014301,"Birmingham",FALSE,73.8,"Birmingham"
"171",76.4,1073014302,"Birmingham",FALSE,76.4,"Birmingham"
"172",79,1073014404,"Birmingham",FALSE,79,"Birmingham"
"173",80.4,1073014405,"Birmingham",FALSE,80.4,"Birmingham"
"174",81.1,1073014406,"Birmingham",FALSE,81.1,"Birmingham"
"175",79.5,1073014408,"Birmingham",FALSE,79.5,"Birmingham"
"176",78.5,1073014409,"Birmingham",FALSE,78.5,"Birmingham"
"177",82.9,1073014410,"Birmingham",FALSE,82.9,"Birmingham"
"178",81.4,1073014412,"Birmingham",FALSE,81.4,"Birmingham"
"179",82.2,1073014413,"Birmingham",FALSE,82.2,"Birmingham"
"180",77,1115040103,"Birmingham",FALSE,77,"Birmingham"
"181",78.2,1115040104,"Birmingham",FALSE,78.2,"Birmingham"
"182",74.9,1115040106,"Birmingham",FALSE,74.9,"Birmingham"
"183",72,1115040201,"Birmingham",FALSE,72,"Birmingham"
"184",73.2,1115040203,"Birmingham",FALSE,73.2,"Birmingham"
"185",79.1,1115040204,"Birmingham",FALSE,79.1,"Birmingham"
"186",74.5,1115040205,"Birmingham",FALSE,74.5,"Birmingham"
"187",71,1115040300,"Birmingham",FALSE,71,"Birmingham"
"188",71.7,1115040401,"Birmingham",FALSE,71.7,"Birmingham"
"189",75.1,1115040402,"Birmingham",FALSE,75.1,"Birmingham"
"190",76.8,1115040501,"Birmingham",FALSE,76.8,"Birmingham"
"191",73,1115040502,"Birmingham",FALSE,73,"Birmingham"
"192",72.8,1117030102,"Birmingham",FALSE,72.8,"Birmingham"
"193",76.7,1117030103,"Birmingham",FALSE,76.7,"Birmingham"
"194",79.7,1117030211,"Birmingham",FALSE,79.7,"Birmingham"
"195",79.3,1117030212,"Birmingham",FALSE,79.3,"Birmingham"
"196",83.3,1117030213,"Birmingham",FALSE,83.3,"Birmingham"
"197",78.7,1117030214,"Birmingham",FALSE,78.7,"Birmingham"
"198",77.6,1117030215,"Birmingham",FALSE,77.6,"Birmingham"
"199",83.6,1117030216,"Birmingham",FALSE,83.6,"Birmingham"
"200",88.2,1117030217,"Birmingham",FALSE,88.2,"Birmingham"
"201",81,1117030303,"Birmingham",FALSE,81,"Birmingham"
"202",79.8,1117030304,"Birmingham",FALSE,79.8,"Birmingham"
"203",80.6,1117030305,"Birmingham",FALSE,80.6,"Birmingham"
"204",75.1,1117030306,"Birmingham",FALSE,75.1,"Birmingham"
"205",78.9,1117030314,"Birmingham",FALSE,78.9,"Birmingham"
"206",78.8,1117030315,"Birmingham",FALSE,78.8,"Birmingham"
"207",78,1117030316,"Birmingham",FALSE,78,"Birmingham"
"208",76.8,1117030317,"Birmingham",FALSE,76.8,"Birmingham"
"209",72.2,1117030319,"Birmingham",FALSE,72.2,"Birmingham"
"210",76.6,1117030320,"Birmingham",FALSE,76.6,"Birmingham"
"211",80.2,1117030330,"Birmingham",FALSE,80.2,"Birmingham"
"212",81.1,1117030331,"Birmingham",FALSE,81.1,"Birmingham"
"213",80.6,1117030332,"Birmingham",FALSE,80.6,"Birmingham"
"214",83.3,1117030333,"Birmingham",FALSE,83.3,"Birmingham"
"215",79.6,1117030334,"Birmingham",FALSE,79.6,"Birmingham"
"216",76.5,1117030337,"Birmingham",FALSE,76.5,"Birmingham"
"217",78.9,1117030340,"Birmingham",FALSE,78.9,"Birmingham"
"218",77.4,1117030341,"Birmingham",FALSE,77.4,"Birmingham"
"219",83,1117030342,"Birmingham",FALSE,83,"Birmingham"
"220",82.1,1117030344,"Birmingham",FALSE,82.1,"Birmingham"
"221",75.3,1117030345,"Birmingham",FALSE,75.3,"Birmingham"
"222",76.5,1117030405,"Birmingham",FALSE,76.5,"Birmingham"
"223",74.3,1117030406,"Birmingham",FALSE,74.3,"Birmingham"
"224",74.6,1117030407,"Birmingham",FALSE,74.6,"Birmingham"
"225",73.4,1117030501,"Birmingham",FALSE,73.4,"Birmingham"
"226",79.4,1117030502,"Birmingham",FALSE,79.4,"Birmingham"
"227",80,1117030604,"Birmingham",FALSE,80,"Birmingham"
"228",78.3,1117030605,"Birmingham",FALSE,78.3,"Birmingham"
"229",77.5,1117030607,"Birmingham",FALSE,77.5,"Birmingham"
"230",81,1117030608,"Birmingham",FALSE,81,"Birmingham"
"231",77,1117030609,"Birmingham",FALSE,77,"Birmingham"
"232",77.9,1117030701,"Birmingham",FALSE,77.9,"Birmingham"
"233",74.7,1117030703,"Birmingham",FALSE,74.7,"Birmingham"
"234",73.9,1117030704,"Birmingham",FALSE,73.9,"Birmingham"
"235",76.3,1117030800,"Birmingham",FALSE,76.3,"Birmingham"
"236",75.5,1117030900,"Birmingham",FALSE,75.5,"Birmingham"
"237",68.6,1127020100,"Birmingham",FALSE,68.6,"Birmingham"
"238",73.8,1127020200,"Birmingham",FALSE,73.8,"Birmingham"
"239",73.6,1127020300,"Birmingham",FALSE,73.6,"Birmingham"
"240",69.3,1127020400,"Birmingham",FALSE,69.3,"Birmingham"
"241",75.1,1127020600,"Birmingham",FALSE,75.1,"Birmingham"
"242",74,1127020700,"Birmingham",FALSE,74,"Birmingham"
"243",71.8,1127020800,"Birmingham",FALSE,71.8,"Birmingham"
"244",67.1,1127020900,"Birmingham",FALSE,67.1,"Birmingham"
"245",71.5,1127021000,"Birmingham",FALSE,71.5,"Birmingham"
"246",72.1,1127021100,"Birmingham",FALSE,72.1,"Birmingham"
"247",70.1,1127021200,"Birmingham",FALSE,70.1,"Birmingham"
"248",72.2,1127021300,"Birmingham",FALSE,72.2,"Birmingham"
"249",70.1,1127021400,"Birmingham",FALSE,70.1,"Birmingham"
"250",69.3,1127021500,"Birmingham",FALSE,69.3,"Birmingham"
"251",74.7,1127021600,"Birmingham",FALSE,74.7,"Birmingham"
"252",69.8,1127021700,"Birmingham",FALSE,69.8,"Birmingham"
"253",71.6,1127021800,"Birmingham",FALSE,71.6,"Birmingham"
"254",71.2,1127021900,"Birmingham",FALSE,71.2,"Birmingham"
"255",69.4,5035030101,"Memphis",TRUE,69.4,"Memphis"
"256",72.8,5035030201,"Memphis",FALSE,72.8,"Memphis"
"257",79.8,5035030202,"Memphis",FALSE,79.8,"Memphis"
"258",72.8,5035030301,"Memphis",TRUE,72.8,"Memphis"
"259",72,5035030302,"Memphis",TRUE,72,"Memphis"
"260",69,5035030501,"Memphis",TRUE,69,"Memphis"
"261",74.6,5035030600,"Memphis",TRUE,74.6,"Memphis"
"262",72.2,5035030702,"Memphis",TRUE,72.2,"Memphis"
"263",75.6,5035030703,"Memphis",FALSE,75.6,"Memphis"
"264",73.5,5035030804,"Memphis",FALSE,73.5,"Memphis"
"265",72.7,5035030805,"Memphis",FALSE,72.7,"Memphis"
"266",75.8,5035030806,"Memphis",FALSE,75.8,"Memphis"
"267",74.4,5035030807,"Memphis",FALSE,74.4,"Memphis"
"268",76.6,5035031000,"Memphis",FALSE,76.6,"Memphis"
"269",72.4,5035031100,"Memphis",TRUE,72.4,"Memphis"
"270",69.3,5035031200,"Memphis",TRUE,69.3,"Memphis"
"271",79.2,6037101110,"Los Angeles",FALSE,79.2,"Los Angeles"
"272",80,6037101122,"Los Angeles",FALSE,80,"Los Angeles"
"273",82.5,6037101210,"Los Angeles",FALSE,82.5,"Los Angeles"
"274",78.5,6037101220,"Los Angeles",FALSE,78.5,"Los Angeles"
"275",80,6037101300,"Los Angeles",FALSE,80,"Los Angeles"
"276",81.4,6037101400,"Los Angeles",FALSE,81.4,"Los Angeles"
"277",82.9,6037102103,"Los Angeles",FALSE,82.9,"Los Angeles"
"278",85.4,6037102104,"Los Angeles",FALSE,85.4,"Los Angeles"
"279",78.7,6037102105,"Los Angeles",FALSE,78.7,"Los Angeles"
"280",79.6,6037102107,"Los Angeles",FALSE,79.6,"Los Angeles"
"281",80.7,6037103101,"Los Angeles",FALSE,80.7,"Los Angeles"
"282",80.6,6037103102,"Los Angeles",FALSE,80.6,"Los Angeles"
"283",81.5,6037103200,"Los Angeles",FALSE,81.5,"Los Angeles"
"284",81,6037103300,"Los Angeles",FALSE,81,"Los Angeles"
"285",79.6,6037103400,"Los Angeles",FALSE,79.6,"Los Angeles"
"286",83.9,6037104103,"Los Angeles",FALSE,83.9,"Los Angeles"
"287",75.9,6037104105,"Los Angeles",FALSE,75.9,"Los Angeles"
"288",81,6037104108,"Los Angeles",FALSE,81,"Los Angeles"
"289",79.2,6037104124,"Los Angeles",FALSE,79.2,"Los Angeles"
