"","GEOID","incomeMob.pctile.fac","pctile.range","LE","STATEFP10","COUNTYFP10","kfr_pooled_pooled_p25"
"388","22095070300","4","41 - 46",76.8,"22","095",0.45629355
"389","22095070400","5","46 - 70",78.2,"22","095",0.48229301
"390","22095070500","2","33 - 36",72.1,"22","095",0.34878379
"391","22095070600","2","33 - 36",75.6,"22","095",0.33709297
"392","22095070700","3","36 - 41",75.6,"22","095",0.40057659
"393","22095070800","1","22 - 32",70.7,"22","095",0.32416013
"394","22095070900","2","33 - 36",73,"22","095",0.36237761
"395","22089071000","2","33 - 36",NA,NA,NA,0.35452852
"396","22095071000","3","36 - 41",72.7,"22","095",0.38046381
"397","22095071100","4","41 - 46",75.3,"22","095",0.42543086
"398","22051980000",NA,"Missing",NA,"22","051",NA
"399","22071980000",NA,"Missing",NA,"22","071",NA
