"","GEOID","kfr_pooled_pooled_p25","ACS.pctBlack","LE"
"373","22089060100",0.40373176,0.203018500486855,78.1
"374","22089062100",0.42752853,0.322555930125651,79.5
"375","22089062200",0.35207239,0.66769112562428,NA
"376","22089062301",0.49547526,0.241171548117155,77.9
"377","22089062302",0.46144241,0.212904581757041,80.6
"378","22089062400",0.39806476,0.392977717758271,72.2
"379","22089062500",0.42806646,0.0623735670937289,76.1
"380","22089062700",0.39543349,0.514557217953902,75.3
"381","22089062800",0.40058437,0.512032870279789,72.7
"382","22089062900",0.45409349,0.0998349834983498,76.5
"383","22089063000",0.51426929,0.428686543110395,77.8
"384","22089063100",0.52209002,0.0310978907517577,79.8
"385","22089063200",0.45749748,0.0217138425746413,75.8
"386","22095070100",0.40993738,0.196150696150696,81
"387","22095070200",0.36329067,0.774329658363958,73.9
"388","22095070300",0.45629355,0.323454699407282,76.8
"389","22095070400",0.48229301,0.34009009009009,78.2
"390","22095070500",0.34878379,0.664674634794157,72.1
"391","22095070600",0.33709297,0.592912705272256,75.6
"392","22095070700",0.40057659,0.319226118500605,75.6
"393","22095070800",0.32416013,0.908443540183113,70.7
"394","22095070900",0.36237761,0.548273657289003,73
"395","22089071000",0.35452852,NA,NA
"396","22095071000",0.38046381,0.360821155184412,72.7
"397","22095071100",0.42543086,0.870050195203569,75.3
"398","22051980000",NA,NA,NA
"399","22071980000",NA,0.2,NA
