"","LE_x","GEOID","city","ACS.majBlack","LE"
"1726",78.7,6037530301,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1727",82.2,6037530302,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.2
"1728",80.9,6037530400,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.9
"1729",84.2,6037530500,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.2
"1730",78.4,6037530601,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.4
"1731",78.3,6037530602,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.3
"1732",78.7,6037530700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1733",78.1,6037530801,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.1
"1734",80,6037530802,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80
"1735",79,6037530901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79
"1736",79.1,6037530902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.1
"1737",78.7,6037531000,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1738",79.6,6037531101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.6
"1739",82.3,6037531102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.3
"1740",77.3,6037531201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1741",77.3,6037531202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1742",80.7,6037531301,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.7
"1743",79.9,6037531302,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.9
"1744",81.4,6037531502,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.4
"1745",80.1,6037531503,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.1
"1746",77.3,6037531504,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1747",77.3,6037531602,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1748",78.1,6037531603,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.1
"1749",82.5,6037531604,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.5
"1750",80.5,6037531701,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.5
"1751",77.3,6037531702,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1752",77.3,6037531800,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1753",82.4,6037531901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.4
"1754",80.7,6037531902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.7
"1755",81.7,6037532001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.7
"1756",79.2,6037532002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.2
"1757",77.3,6037532101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1758",84,6037532102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84
"1759",83.7,6037532200,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.7
"1760",81.2,6037532302,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.2
"1761",84.9,6037532303,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.9
"1762",83.3,6037532304,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.3
"1763",77.3,6037532500,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1764",77.8,6037532603,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.8
"1765",80.3,6037532604,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.3
"1766",77.7,6037532605,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.7
"1767",78.5,6037532606,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.5
"1768",76.2,6037532700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.2
"1769",78.2,6037532800,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.2
"1770",82.3,6037532900,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.3
"1771",82,6037533001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82
"1772",76.2,6037533002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.2
"1773",77.3,6037533103,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1774",77.3,6037533104,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1775",77.3,6037533105,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1776",77.3,6037533106,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1777",77.3,6037533107,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1778",77.3,6037533201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1779",78.5,6037533202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.5
"1780",77.3,6037533203,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1781",77.3,6037533300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1782",79.1,6037533401,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.1
"1783",77.3,6037533402,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1784",78.4,6037533403,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.4
"1785",79.5,6037533501,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.5
"1786",77.3,6037533503,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1787",78.7,6037533601,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1788",83.1,6037533602,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.1
"1789",88.1,6037533603,"Los Angeles-Long Beach-Anaheim, CA",FALSE,88.1
